year,Quarter,GEO,Migration_rate,vacancy_rate_change
2015,2,Manitoba,31.46,-20.41
2015,3,Manitoba,0.94,-12.82
2015,4,Manitoba,-8.83,-16.18
2016,1,Manitoba,17.79,-7.02
2016,2,Manitoba,20.75,13.21
2016,3,Manitoba,-20.61,-3.33
2016,4,Manitoba,-29.13,-5.17
2017,1,Manitoba,30.68,1.82
2017,2,Manitoba,15.96,30.36
2017,3,Manitoba,-16.49,-6.85
2017,4,Manitoba,-33.89,-5.88
2018,1,Manitoba,37.88,-3.12
2018,2,Manitoba,31.06,24.19
2018,3,Manitoba,-13.53,-9.09
2018,4,Manitoba,-12.09,0.00
2019,1,Manitoba,-5.39,-2.86
2019,2,Manitoba,66.37,10.29
2019,3,Manitoba,13.54,0.00
2019,4,Manitoba,-31.96,-8.00
2020,1,Manitoba,-27.32,18.84
2020,2,Manitoba,-51.71,0.00
2020,3,Manitoba,54.32,0.00
2020,4,Manitoba,-16.40,6.10
2021,1,Manitoba,80.17,5.75
2021,2,Manitoba,-21.54,17.39
2021,3,Manitoba,75.97,8.33
2021,4,Manitoba,25.01,3.42
2022,1,Manitoba,-11.76,8.26
2022,2,Manitoba,9.55,9.16
2022,3,Manitoba,12.95,2.10
2022,4,Manitoba,-29.97,-18.49
2023,1,Manitoba,97.88,7.56
2023,2,Manitoba,-33.51,-1.56
2023,3,Manitoba,-14.39,-10.32
2023,4,Manitoba,2.03,-3.54
2024,1,Manitoba,10.76,-8.26
