year,Quarter,GEO,Migration_rate,vacancy_rate_change
2015,2,Newfoundland and Labrador,38.07,-17.58
2015,3,Newfoundland and Labrador,5.88,4.00
2015,4,Newfoundland and Labrador,25.69,-19.23
2016,1,Newfoundland and Labrador,15.75,-14.29
2016,2,Newfoundland and Labrador,-14.56,12.96
2016,3,Newfoundland and Labrador,-26.82,-3.28
2016,4,Newfoundland and Labrador,-38.55,-23.73
2017,1,Newfoundland and Labrador,62.11,4.44
2017,2,Newfoundland and Labrador,31.42,31.91
2017,3,Newfoundland and Labrador,6.71,-16.13
2017,4,Newfoundland and Labrador,-41.80,-11.54
2018,1,Newfoundland and Labrador,38.97,0.00
2018,2,Newfoundland and Labrador,37.16,54.35
2018,3,Newfoundland and Labrador,18.72,-16.90
2018,4,Newfoundland and Labrador,-28.84,-3.39
2019,1,Newfoundland and Labrador,-19.53,-10.53
2019,2,Newfoundland and Labrador,98.55,47.06
2019,3,Newfoundland and Labrador,1.64,-16.00
2019,4,Newfoundland and Labrador,-14.54,11.11
2020,1,Newfoundland and Labrador,-24.16,-7.14
2020,2,Newfoundland and Labrador,-52.63,0.00
2020,3,Newfoundland and Labrador,-21.05,0.00
2020,4,Newfoundland and Labrador,71.11,24.62
2021,1,Newfoundland and Labrador,12.12,-20.99
2021,2,Newfoundland and Labrador,0.00,75.00
2021,3,Newfoundland and Labrador,123.55,-6.25
2021,4,Newfoundland and Labrador,64.42,-1.90
2022,1,Newfoundland and Labrador,-34.45,-6.80
2022,2,Newfoundland and Labrador,9.94,38.54
2022,3,Newfoundland and Labrador,60.50,-15.04
2022,4,Newfoundland and Labrador,-1.54,-18.58
2023,1,Newfoundland and Labrador,88.65,-8.70
2023,2,Newfoundland and Labrador,-45.87,51.19
2023,3,Newfoundland and Labrador,-4.70,-23.62
2023,4,Newfoundland and Labrador,21.23,-12.37
2024,1,Newfoundland and Labrador,10.01,-14.12
