year,Quarter,GEO,Migration_rate,vacancy_rate_change
2015,2,Northwest Territories,137.93,84.93
2015,3,Northwest Territories,-1.45,-25.19
2015,4,Northwest Territories,-33.82,-15.84
2016,1,Northwest Territories,11.11,4.71
2016,2,Northwest Territories,14.00,-8.99
2016,3,Northwest Territories,-38.60,-4.94
2016,4,Northwest Territories,17.14,-2.60
2017,1,Northwest Territories,102.44,-41.33
2017,2,Northwest Territories,-20.48,102.27
2017,3,Northwest Territories,-40.91,-11.24
2017,4,Northwest Territories,28.21,-11.39
2018,1,Northwest Territories,106.00,55.71
2018,2,Northwest Territories,-38.83,-11.93
2018,3,Northwest Territories,-11.11,-35.42
2018,4,Northwest Territories,1.79,53.23
2019,1,Northwest Territories,-3.51,7.37
2019,2,Northwest Territories,7.27,-0.98
2019,3,Northwest Territories,-20.34,2.97
2019,4,Northwest Territories,-23.40,-35.58
2020,1,Northwest Territories,33.33,-23.88
2020,2,Northwest Territories,-37.50,0.00
2020,3,Northwest Territories,-30.00,0.00
2020,4,Northwest Territories,19.05,80.39
2021,1,Northwest Territories,32.00,-18.48
2021,2,Northwest Territories,96.97,89.33
2021,3,Northwest Territories,40.00,26.76
2021,4,Northwest Territories,18.68,-41.67
2022,1,Northwest Territories,-27.78,52.38
2022,2,Northwest Territories,-11.54,-13.75
2022,3,Northwest Territories,-10.14,57.25
2022,4,Northwest Territories,-61.29,-32.72
2023,1,Northwest Territories,416.67,-17.12
2023,2,Northwest Territories,-41.94,41.32
2023,3,Northwest Territories,-4.17,-14.04
2023,4,Northwest Territories,-7.25,-3.40
2024,1,Northwest Territories,81.25,-59.15
