year,Quarter,GEO,Migration_rate,vacancy_rate_change
2015,2,Prince Edward Island,47.96,-5.62
2015,3,Prince Edward Island,25.86,-23.81
2015,4,Prince Edward Island,-7.12,1.56
2016,1,Prince Edward Island,65.19,-38.46
2016,2,Prince Edward Island,34.11,92.50
2016,3,Prince Edward Island,-7.59,-32.47
2016,4,Prince Edward Island,-55.62,-15.38
2017,1,Prince Edward Island,97.08,11.36
2017,2,Prince Edward Island,7.41,108.16
2017,3,Prince Edward Island,-3.68,-18.63
2017,4,Prince Edward Island,-27.39,-31.33
2018,1,Prince Edward Island,5.26,-3.51
2018,2,Prince Edward Island,9.38,52.73
2018,3,Prince Edward Island,30.48,20.24
2018,4,Prince Edward Island,-36.20,-9.90
2019,1,Prince Edward Island,24.49,-25.27
2019,2,Prince Edward Island,10.48,55.88
2019,3,Prince Edward Island,42.26,-15.09
2019,4,Prince Edward Island,-47.72,-70.00
2020,1,Prince Edward Island,10.51,192.59
2020,2,Prince Edward Island,-42.71,0.00
2020,3,Prince Edward Island,-9.54,0.00
2020,4,Prince Edward Island,1.17,7.59
2021,1,Prince Edward Island,41.31,-14.12
2021,2,Prince Edward Island,-10.38,109.59
2021,3,Prince Edward Island,225.61,-18.30
2021,4,Prince Edward Island,-20.32,16.00
2022,1,Prince Edward Island,-23.38,-10.34
2022,2,Prince Edward Island,33.13,46.92
2022,3,Prince Edward Island,-3.80,-18.85
2022,4,Prince Edward Island,-62.51,-15.48
2023,1,Prince Edward Island,307.03,0.00
2023,2,Prince Edward Island,-45.53,34.35
2023,3,Prince Edward Island,18.88,-42.05
2023,4,Prince Edward Island,0.00,-18.63
2024,1,Prince Edward Island,61.21,8.43
