year,Quarter,GEO,Migration_rate,vacancy_rate_change
2015,2,Quebec,45.84,-31.11
2015,3,Quebec,2.19,-16.13
2015,4,Quebec,-8.11,-15.38
2016,1,Quebec,9.90,4.55
2016,2,Quebec,9.30,28.26
2016,3,Quebec,-3.05,-3.39
2016,4,Quebec,-35.42,-7.02
2017,1,Quebec,35.56,5.66
2017,2,Quebec,24.95,28.57
2017,3,Quebec,-13.87,1.39
2017,4,Quebec,-30.93,6.85
2018,1,Quebec,15.32,1.28
2018,2,Quebec,21.88,21.52
2018,3,Quebec,14.11,1.04
2018,4,Quebec,-26.43,-3.09
2019,1,Quebec,-28.73,1.06
2019,2,Quebec,26.46,18.95
2019,3,Quebec,13.30,-4.42
2019,4,Quebec,-6.20,-8.33
2020,1,Quebec,-26.25,5.05
2020,2,Quebec,-62.60,0.00
2020,3,Quebec,141.97,0.00
2020,4,Quebec,-2.23,16.35
2021,1,Quebec,43.86,4.13
2021,2,Quebec,-8.94,27.78
2021,3,Quebec,60.72,15.53
2021,4,Quebec,7.84,-2.69
2022,1,Quebec,-14.92,-3.87
2022,2,Quebec,34.20,10.34
2022,3,Quebec,12.64,-5.73
2022,4,Quebec,-21.44,-15.47
2023,1,Quebec,-0.78,-4.58
2023,2,Quebec,-27.69,1.37
2023,3,Quebec,42.15,-14.19
2023,4,Quebec,-47.74,-14.17
2024,1,Quebec,54.97,-6.42
