year,Quarter,GEO,Migration_rate,vacancy_rate_change
2015,2,Saskatchewan,53.99,-73.53
2015,3,Saskatchewan,1.43,170.37
2015,4,Saskatchewan,-22.34,-8.22
2016,1,Saskatchewan,43.81,-13.43
2016,2,Saskatchewan,10.05,10.34
2016,3,Saskatchewan,-23.28,-10.94
2016,4,Saskatchewan,-19.97,-10.53
2017,1,Saskatchewan,37.77,3.92
2017,2,Saskatchewan,10.82,35.85
2017,3,Saskatchewan,-6.37,-13.89
2017,4,Saskatchewan,-33.25,-8.06
2018,1,Saskatchewan,50.64,5.26
2018,2,Saskatchewan,9.89,18.33
2018,3,Saskatchewan,-3.56,-5.63
2018,4,Saskatchewan,-31.51,-16.42
2019,1,Saskatchewan,-1.52,0.00
2019,2,Saskatchewan,37.77,32.14
2019,3,Saskatchewan,40.41,-4.05
2019,4,Saskatchewan,-35.45,-11.27
2020,1,Saskatchewan,-15.18,17.46
2020,2,Saskatchewan,-57.82,0.00
2020,3,Saskatchewan,35.45,0.00
2020,4,Saskatchewan,-18.88,-8.11
2021,1,Saskatchewan,75.02,20.59
2021,2,Saskatchewan,-27.69,35.37
2021,3,Saskatchewan,71.46,19.82
2021,4,Saskatchewan,21.25,-8.27
2022,1,Saskatchewan,12.89,8.20
2022,2,Saskatchewan,29.87,18.18
2022,3,Saskatchewan,29.05,-2.56
2022,4,Saskatchewan,-26.30,-7.24
2023,1,Saskatchewan,43.77,-2.84
2023,2,Saskatchewan,-10.42,11.68
2023,3,Saskatchewan,-9.06,-4.58
2023,4,Saskatchewan,-14.57,-16.44
2024,1,Saskatchewan,9.10,-12.30
