year,Quarter,GEO,Migration_rate,vacancy_rate_change
2015,2,Yukon,32.73,30.84
2015,3,Yukon,34.25,-44.29
2015,4,Yukon,-58.16,0.00
2016,1,Yukon,58.54,-33.33
2016,2,Yukon,-23.08,84.62
2016,3,Yukon,-10.00,-7.29
2016,4,Yukon,13.33,-2.25
2017,1,Yukon,43.14,-18.39
2017,2,Yukon,-12.33,80.28
2017,3,Yukon,-23.44,-11.72
2017,4,Yukon,-20.41,-30.97
2018,1,Yukon,141.03,47.44
2018,2,Yukon,-13.83,24.35
2018,3,Yukon,-18.52,-9.79
2018,4,Yukon,0.00,-9.30
2019,1,Yukon,-4.55,5.98
2019,2,Yukon,80.95,43.55
2019,3,Yukon,14.04,-10.67
2019,4,Yukon,-28.46,-15.72
2020,1,Yukon,-4.30,9.70
2020,2,Yukon,-73.03,0.00
2020,3,Yukon,54.17,0.00
2020,4,Yukon,-29.73,-38.78
2021,1,Yukon,223.08,56.67
2021,2,Yukon,82.14,54.61
2021,3,Yukon,9.80,-9.17
2021,4,Yukon,13.69,-6.57
2022,1,Yukon,-11.52,-3.24
2022,2,Yukon,-19.53,46.93
2022,3,Yukon,-17.65,-7.98
2022,4,Yukon,-66.96,-21.49
2023,1,Yukon,827.03,1.05
2023,2,Yukon,-46.06,-0.52
2023,3,Yukon,-9.73,-13.61
2023,4,Yukon,16.77,-23.03
2024,1,Yukon,52.31,11.02
