year,Quarter,GEO,Migration_rate,vacancy_rate_change
2015,2,Canada,41.00,-24.35
2015,3,Canada,9.45,-10.34
2015,4,Canada,-11.61,-14.10
2016,1,Canada,23.66,-5.97
2016,2,Canada,2.38,20.63
2016,3,Canada,-22.73,0.00
2016,4,Canada,-21.43,-6.58
2017,1,Canada,35.86,2.82
2017,2,Canada,7.11,19.18
2017,3,Canada,-10.10,0.00
2017,4,Canada,-6.53,-1.15
2018,1,Canada,22.05,0.00
2018,2,Canada,9.59,17.44
2018,3,Canada,-6.14,-0.99
2018,4,Canada,-13.63,-3.00
2019,1,Canada,-7.21,-6.19
2019,2,Canada,42.95,14.29
2019,3,Canada,10.01,-3.85
2019,4,Canada,-25.54,-11.00
2020,1,Canada,-10.47,3.37
2020,2,Canada,-50.72,0.00
2020,3,Canada,17.75,0.00
2020,4,Canada,2.85,13.04
2021,1,Canada,70.84,2.88
2021,2,Canada,5.60,28.04
2021,3,Canada,65.12,19.71
2021,4,Canada,12.43,-3.05
2022,1,Canada,-17.65,-1.89
2022,2,Canada,3.97,13.46
2022,3,Canada,3.28,-6.21
2022,4,Canada,-31.84,-14.46
2023,1,Canada,74.63,-7.04
2023,2,Canada,-18.96,3.79
2023,3,Canada,-8.40,-11.68
2023,4,Canada,-6.95,-13.22
2024,1,Canada,21.19,-6.67
