year,Quarter,GEO,Migration_rate,vacancy_rate_change
2015,2,Alberta,"45,92","1,00"
2015,3,Alberta,"18,38","44,62"
2015,4,Alberta,"-9,05","-21,28"
2016,1,Alberta,"19,28","-21,62"
2016,2,Alberta,"0,40","12,07"
2016,3,Alberta,"-34,58","3,08"
2016,4,Alberta,"-17,31","-4,48"
2017,1,Alberta,"60,32","4,69"
2017,2,Alberta,"-8,19","19,40"
2017,3,Alberta,"-31,26","1,25"
2017,4,Alberta,"-5,40","-4,94"
2018,1,Alberta,"32,85","-1,30"
2018,2,Alberta,"9,58","18,42"
2018,3,Alberta,"-10,69","-2,22"
2018,4,Alberta,"-9,86","-6,82"
2019,1,Alberta,"-8,78","-9,76"
2019,2,Alberta,"45,34","20,27"
2019,3,Alberta,"2,26","-10,11"
2019,4,Alberta,"-20,84","-16,25"
2020,1,Alberta,"-15,67","10,45"
2020,2,Alberta,"-49,72","0,00"
2020,3,Alberta,"14,83","0,00"
2020,4,Alberta,"8,97","0,00"
2021,1,Alberta,"27,02","12,16"
2021,2,Alberta,"3,59","32,53"
2021,3,Alberta,"63,51","21,82"
2021,4,Alberta,"23,08","-5,22"
2022,1,Alberta,"-10,03","5,51"
2022,2,Alberta,"12,18","18,66"
2022,3,Alberta,"-11,33","-4,40"
2022,4,Alberta,"-21,42","-12,50"
2023,1,Alberta,"72,65","-3,76"
2023,2,Alberta,"-15,07","7,03"
2023,3,Alberta,"-18,43","-8,03"
2023,4,Alberta,"17,72","-13,49"
2024,1,Alberta,"10,02","-4,59"
2015,2,British Columbia,"35,89","0,00"
2015,3,British Columbia,"18,20","0,96"
2015,4,British Columbia,"-18,96","-18,10"
2016,1,British Columbia,"33,24","5,81"
2016,2,British Columbia,"-0,31","13,19"
2016,3,British Columbia,"-33,33","4,85"
2016,4,British Columbia,"-13,38","-8,33"
2017,1,British Columbia,"57,37","-3,03"
2017,2,British Columbia,"-4,71","23,96"
2017,3,British Columbia,"-14,37","5,88"
2017,4,British Columbia,"2,89","-7,14"
2018,1,British Columbia,"36,18","5,13"
2018,2,British Columbia,"-0,99","13,01"
2018,3,British Columbia,"-10,00","3,60"
2018,4,British Columbia,"-10,29","-6,94"
2019,1,British Columbia,"-9,20","-2,99"
2019,2,British Columbia,"54,71","6,92"
2019,3,British Columbia,"16,17","-2,88"
2019,4,British Columbia,"-25,80","-16,30"
2020,1,British Columbia,"-6,46","6,19"
2020,2,British Columbia,"-45,05","0,00"
2020,3,British Columbia,"-19,39","0,00"
2020,4,British Columbia,"32,88","4,17"
2021,1,British Columbia,"58,24","8,80"
2021,2,British Columbia,"23,78","19,85"
2021,3,British Columbia,"81,87","22,70"
2021,4,British Columbia,"0,85","-8,00"
2022,1,British Columbia,"-11,13","0,54"
2022,2,British Columbia,"-22,78","11,35"
2022,3,British Columbia,"0,46","-8,74"
2022,4,British Columbia,"-47,83","-17,55"
2023,1,British Columbia,"191,84","-5,16"
2023,2,British Columbia,"-29,37","5,44"
2023,3,British Columbia,"-20,48","-10,97"
2023,4,British Columbia,"11,11","-11,59"
2024,1,British Columbia,"16,21","-5,74"
2015,2,Canada,"41,00","-24,35"
2015,3,Canada,"9,45","-10,34"
2015,4,Canada,"-11,61","-14,10"
2016,1,Canada,"23,66","-5,97"
2016,2,Canada,"2,38","20,63"
2016,3,Canada,"-22,73","0,00"
2016,4,Canada,"-21,43","-6,58"
2017,1,Canada,"35,86","2,82"
2017,2,Canada,"7,11","19,18"
2017,3,Canada,"-10,10","0,00"
2017,4,Canada,"-6,53","-1,15"
2018,1,Canada,"22,05","0,00"
2018,2,Canada,"9,59","17,44"
2018,3,Canada,"-6,14","-0,99"
2018,4,Canada,"-13,63","-3,00"
2019,1,Canada,"-7,21","-6,19"
2019,2,Canada,"42,95","14,29"
2019,3,Canada,"10,01","-3,85"
2019,4,Canada,"-25,54","-11,00"
2020,1,Canada,"-10,47","3,37"
2020,2,Canada,"-50,72","0,00"
2020,3,Canada,"17,75","0,00"
2020,4,Canada,"2,85","13,04"
2021,1,Canada,"70,84","2,88"
2021,2,Canada,"5,60","28,04"
2021,3,Canada,"65,12","19,71"
2021,4,Canada,"12,43","-3,05"
2022,1,Canada,"-17,65","-1,89"
2022,2,Canada,"3,97","13,46"
2022,3,Canada,"3,28","-6,21"
2022,4,Canada,"-31,84","-14,46"
2023,1,Canada,"74,63","-7,04"
2023,2,Canada,"-18,96","3,79"
2023,3,Canada,"-8,40","-11,68"
2023,4,Canada,"-6,95","-13,22"
2024,1,Canada,"21,19","-6,67"
2015,2,Manitoba,"31,46","-20,41"
2015,3,Manitoba,"0,94","-12,82"
2015,4,Manitoba,"-8,83","-16,18"
2016,1,Manitoba,"17,79","-7,02"
2016,2,Manitoba,"20,75","13,21"
2016,3,Manitoba,"-20,61","-3,33"
2016,4,Manitoba,"-29,13","-5,17"
2017,1,Manitoba,"30,68","1,82"
2017,2,Manitoba,"15,96","30,36"
2017,3,Manitoba,"-16,49","-6,85"
2017,4,Manitoba,"-33,89","-5,88"
2018,1,Manitoba,"37,88","-3,12"
2018,2,Manitoba,"31,06","24,19"
2018,3,Manitoba,"-13,53","-9,09"
2018,4,Manitoba,"-12,09","0,00"
2019,1,Manitoba,"-5,39","-2,86"
2019,2,Manitoba,"66,37","10,29"
2019,3,Manitoba,"13,54","0,00"
2019,4,Manitoba,"-31,96","-8,00"
2020,1,Manitoba,"-27,32","18,84"
2020,2,Manitoba,"-51,71","0,00"
2020,3,Manitoba,"54,32","0,00"
2020,4,Manitoba,"-16,40","6,10"
2021,1,Manitoba,"80,17","5,75"
2021,2,Manitoba,"-21,54","17,39"
2021,3,Manitoba,"75,97","8,33"
2021,4,Manitoba,"25,01","3,42"
2022,1,Manitoba,"-11,76","8,26"
2022,2,Manitoba,"9,55","9,16"
2022,3,Manitoba,"12,95","2,10"
2022,4,Manitoba,"-29,97","-18,49"
2023,1,Manitoba,"97,88","7,56"
2023,2,Manitoba,"-33,51","-1,56"
2023,3,Manitoba,"-14,39","-10,32"
2023,4,Manitoba,"2,03","-3,54"
2024,1,Manitoba,"10,76","-8,26"
2015,2,New Brunswick,"-12,00","-4,00"
2015,3,New Brunswick,"39,64","-33,33"
2015,4,New Brunswick,"-17,32","-3,12"
2016,1,New Brunswick,"220,63","-25,81"
2016,2,New Brunswick,"-47,89","45,65"
2016,3,New Brunswick,"-8,48","-4,48"
2016,4,New Brunswick,"-33,16","-12,50"
2017,1,New Brunswick,"12,94","0,00"
2017,2,New Brunswick,"50,89","50,00"
2017,3,New Brunswick,"-0,90","-16,67"
2017,4,New Brunswick,"-33,85","-8,57"
2018,1,New Brunswick,"60,28","15,63"
2018,2,New Brunswick,"-2,50","31,08"
2018,3,New Brunswick,"17,65","-10,31"
2018,4,New Brunswick,"-26,41","-5,75"
2019,1,New Brunswick,"7,54","-10,98"
2019,2,New Brunswick,"61,80","32,88"
2019,3,New Brunswick,"14,12","-6,19"
2019,4,New Brunswick,"-33,57","-12,09"
2020,1,New Brunswick,"-16,77","10,00"
2020,2,New Brunswick,"-45,13","0,00"
2020,3,New Brunswick,"17,43","0,00"
2020,4,New Brunswick,"-24,21","21,59"
2021,1,New Brunswick,"33,08","-11,21"
2021,2,New Brunswick,"9,71","38,95"
2021,3,New Brunswick,"124,87","4,55"
2021,4,New Brunswick,"22,76","-8,70"
2022,1,New Brunswick,"-8,11","0,79"
2022,2,New Brunswick,"34,24","20,47"
2022,3,New Brunswick,"26,92","-9,15"
2022,4,New Brunswick,"-29,35","-15,11"
2023,1,New Brunswick,"25,37","-4,24"
2023,2,New Brunswick,"-17,82","20,35"
2023,3,New Brunswick,"19,29","-22,79"
2023,4,New Brunswick,"11,42","-5,71"
