REF_DATE,province,rent_amount
1987,Alberta,382.0
1987,British Columbia,272.74074074074076
1987,Manitoba,378.46153846153845
1987,New Brunswick,338.52941176470586
1987,Newfoundland and Labrador,393.5
1987,Northwest Territories,
1987,Nova Scotia,356.2142857142857
1987,Ontario,346.72463768115944
1987,Ontario/Quebec,443.3333333333333
1987,Prince Edward Island,384.5
1987,Quebec,264.0
1987,Saskatchewan,338.57142857142856
1987,Yukon,
1988,Alberta,374.0
1988,British Columbia,287.38823529411764
1988,Manitoba,390.27272727272725
1988,New Brunswick,348.0
1988,Newfoundland and Labrador,387.42857142857144
1988,Northwest Territories,
1988,Nova Scotia,374.45454545454544
1988,Ontario,365.297520661157
1988,Ontario/Quebec,461.6666666666667
1988,Prince Edward Island,364.8333333333333
1988,Quebec,270.4117647058824
1988,Saskatchewan,346.2916666666667
1988,Yukon,
1989,Alberta,391.15384615384613
1989,British Columbia,306.85714285714283
1989,Manitoba,403.72727272727275
1989,New Brunswick,349.6666666666667
1989,Newfoundland and Labrador,398.22222222222223
1989,Northwest Territories,
1989,Nova Scotia,388.45454545454544
1989,Ontario,387.515873015873
1989,Ontario/Quebec,479.0
1989,Prince Edward Island,376.6666666666667
1989,Quebec,285.28846153846155
1989,Saskatchewan,347.17391304347825
1989,Yukon,
1990,Alberta,398.44444444444446
1990,British Columbia,340.01190476190476
1990,Manitoba,407.8181818181818
1990,New Brunswick,363.26666666666665
1990,Newfoundland and Labrador,405.54545454545456
1990,Northwest Territories,
1990,Nova Scotia,391.9166666666667
1990,Ontario,406.53125
1990,Ontario/Quebec,505.0
1990,Prince Edward Island,378.6666666666667
1990,Quebec,295.787037037037
1990,Saskatchewan,341.2083333333333
1990,Yukon,
1991,Alberta,411.25925925925924
1991,British Columbia,364.0344827586207
1991,Manitoba,435.4
1991,New Brunswick,378.2
1991,Newfoundland and Labrador,408.9166666666667
1991,Northwest Territories,
1991,Nova Scotia,417.6363636363636
1991,Ontario,429.73333333333335
1991,Ontario/Quebec,534.6666666666666
1991,Prince Edward Island,381.5
1991,Quebec,308.58490566037733
1991,Saskatchewan,350.75
1991,Yukon,
1992,Alberta,414.5
1992,British Columbia,426.07251908396944
1992,Manitoba,431.0857142857143
1992,New Brunswick,378.9111111111111
1992,Newfoundland and Labrador,412.1142857142857
1992,Northwest Territories,
1992,Nova Scotia,410.06
1992,Ontario,470.8668407310705
1992,Ontario/Quebec,566.3
1992,Prince Edward Island,391.5263157894737
1992,Quebec,328.0691823899371
1992,Saskatchewan,355.0853658536585
1992,Yukon,
1993,Alberta,420.8484848484849
1993,British Columbia,440.234126984127
1993,Manitoba,439.6363636363636
1993,New Brunswick,384.1276595744681
1993,Newfoundland and Labrador,413.4054054054054
1993,Northwest Territories,
1993,Nova Scotia,420.5111111111111
1993,Ontario,481.5925
1993,Ontario/Quebec,581.6363636363636
1993,Prince Edward Island,400.94736842105266
1993,Quebec,330.95297805642633
1993,Saskatchewan,358.609756097561
1993,Yukon,
1994,Alberta,415.42452830188677
1994,British Columbia,457.73929961089493
1994,Manitoba,439.05882352941177
1994,New Brunswick,391.67391304347825
1994,Newfoundland and Labrador,420.9142857142857
1994,Northwest Territories,
1994,Nova Scotia,420.3541666666667
1994,Ontario,494.1162790697674
1994,Ontario/Quebec,582.3636363636364
1994,Prince Edward Island,404.5263157894737
1994,Quebec,332.36875
1994,Saskatchewan,361.9367088607595
1994,Yukon,
1995,Alberta,420.6111111111111
1995,British Columbia,470.00766283524905
1995,Manitoba,441.70588235294116
1995,New Brunswick,398.0
1995,Newfoundland and Labrador,415.7241379310345
1995,Northwest Territories,
1995,Nova Scotia,424.7659574468085
1995,Ontario,494.76296296296294
1995,Ontario/Quebec,573.9166666666666
1995,Prince Edward Island,412.3333333333333
1995,Quebec,335.63375796178343
1995,Saskatchewan,364.65060240963857
1995,Yukon,
1996,Alberta,426.32380952380953
1996,British Columbia,473.109375
1996,Manitoba,444.97058823529414
1996,New Brunswick,401.5531914893617
1996,Newfoundland and Labrador,424.47058823529414
1996,Northwest Territories,
1996,Nova Scotia,432.8
1996,Ontario,500.74937965260546
1996,Ontario/Quebec,594.2
1996,Prince Edward Island,413.3888888888889
1996,Quebec,339.8993710691824
1996,Saskatchewan,369.90361445783134
1996,Yukon,
1997,Alberta,443.03921568627453
1997,British Columbia,478.20472440944883
1997,Manitoba,449.81081081081084
1997,New Brunswick,405.6808510638298
1997,Newfoundland and Labrador,424.1470588235294
1997,Northwest Territories,
1997,Nova Scotia,433.95652173913044
1997,Ontario,508.09223300970876
1997,Ontario/Quebec,583.6363636363636
1997,Prince Edward Island,434.8125
1997,Quebec,343.98107255520506
1997,Saskatchewan,382.225
1997,Yukon,
1998,Alberta,471.8363636363636
1998,British Columbia,473.25482625482624
1998,Manitoba,458.02777777777777
1998,New Brunswick,398.6
1998,Newfoundland and Labrador,420.3142857142857
1998,Northwest Territories,837.0
1998,Nova Scotia,443.4347826086956
1998,Ontario,521.3401534526854
1998,Ontario/Quebec,582.0
1998,Prince Edward Island,449.4
1998,Quebec,347.1758957654723
1998,Saskatchewan,387.2716049382716
1998,Yukon,
1999,Alberta,477.7027027027027
1999,British Columbia,467.85227272727275
1999,Manitoba,455.44117647058823
1999,New Brunswick,412.92857142857144
1999,Newfoundland and Labrador,425.6666666666667
1999,Northwest Territories,818.3333333333334
1999,Nova Scotia,451.9782608695652
1999,Ontario,527.2151589242054
1999,Ontario/Quebec,601.1666666666666
1999,Prince Edward Island,436.94444444444446
1999,Quebec,348.75079872204475
1999,Saskatchewan,394.60714285714283
1999,Yukon,
2000,Alberta,524.3627450980392
2000,British Columbia,465.57677902621725
2000,Manitoba,454.27027027027026
2000,New Brunswick,422.4807692307692
2000,Newfoundland and Labrador,439.53333333333336
2000,Northwest Territories,839.2222222222222
2000,Nova Scotia,468.02272727272725
2000,Ontario,537.6501240694789
2000,Ontario/Quebec,682.6363636363636
2000,Prince Edward Island,451.8
2000,Quebec,351.44761904761907
2000,Saskatchewan,398.01162790697674
2000,Yukon,
2001,Alberta,558.5925925925926
2001,British Columbia,473.6078431372549
2001,Manitoba,476.29411764705884
2001,New Brunswick,427.23214285714283
2001,Newfoundland and Labrador,450.03125
2001,Northwest Territories,915.0
2001,Nova Scotia,474.69767441860466
2001,Ontario,550.2506024096385
2001,Ontario/Quebec,737.8
2001,Prince Edward Island,452.8421052631579
2001,Quebec,356.3333333333333
2001,Saskatchewan,412.7317073170732
2001,Yukon,
2002,Alberta,582.0188679245283
2002,British Columbia,496.5
2002,Manitoba,475.2368421052632
2002,New Brunswick,439.4561403508772
2002,Newfoundland and Labrador,448.5151515151515
2002,Northwest Territories,972.4444444444445
2002,Nova Scotia,483.84090909090907
2002,Ontario,581.8527131782946
2002,Ontario/Quebec,745.3
2002,Prince Edward Island,466.57894736842104
2002,Quebec,375.4185303514377
2002,Saskatchewan,419.075
2002,Yukon,
2003,Alberta,595.5196078431372
2003,British Columbia,508.42436974789916
2003,Manitoba,503.3125
2003,New Brunswick,439.76363636363635
2003,Newfoundland and Labrador,500.1363636363636
2003,Northwest Territories,1060.9
2003,Nova Scotia,505.7173913043478
2003,Ontario,600.6175637393768
2003,Ontario/Quebec,744.5454545454545
2003,Prince Edward Island,472.44444444444446
2003,Quebec,389.1067615658363
