REF_DATE,province,Immigrants,Net emigration,Net non-permanent residents
1946,Alberta,5771.0,,
1946,British Columbia,8619.0,,
1946,Manitoba,4615.0,,
1946,New Brunswick,3465.0,,
1946,Northwest Territories including Nunavut,21.0,,
1946,Nova Scotia,4604.0,,
1946,Ontario,29604.0,,
1946,Prince Edward Island,586.0,,
1946,Quebec,9712.0,,
1946,Saskatchewan,4711.0,,
1946,Yukon,7.0,,
1947,Alberta,3261.0,,
1947,British Columbia,8599.0,,
1947,Manitoba,2747.0,,
1947,New Brunswick,1248.0,,
1947,Northwest Territories including Nunavut,33.0,,
1947,Nova Scotia,2294.0,,
1947,Ontario,35543.0,,
1947,Prince Edward Island,223.0,,
1947,Quebec,8272.0,,
1947,Saskatchewan,1901.0,,
1947,Yukon,6.0,,
1948,Alberta,9715.0,,
1948,British Columbia,11918.0,,
1948,Manitoba,7750.0,,
1948,New Brunswick,1476.0,,
1948,Northwest Territories including Nunavut,25.0,,
1948,Nova Scotia,2813.0,,
1948,Ontario,61621.0,,
1948,Prince Edward Island,269.0,,
1948,Quebec,24687.0,,
1948,Saskatchewan,5087.0,,
1948,Yukon,53.0,,
1949,Alberta,8519.0,,
1949,British Columbia,7874.0,,
1949,Manitoba,5721.0,,
1949,New Brunswick,782.0,,
1949,Newfoundland and Labrador,129.0,,
1949,Northwest Territories including Nunavut,28.0,,
1949,Nova Scotia,1626.0,,
1949,Ontario,48607.0,,
1949,Prince Edward Island,240.0,,
1949,Quebec,18005.0,,
1949,Saskatchewan,3664.0,,
1949,Yukon,22.0,,
1950,Alberta,6424.0,,
1950,British Columbia,6091.0,,
1950,Manitoba,3654.0,,
1950,New Brunswick,663.0,,
1950,Newfoundland and Labrador,204.0,,
1950,Northwest Territories including Nunavut,19.0,,
1950,Nova Scotia,1167.0,,
1950,Ontario,39041.0,,
1950,Prince Edward Island,164.0,,
1950,Quebec,13575.0,,
1950,Saskatchewan,2897.0,,
1950,Yukon,13.0,,
1951,Alberta,12238.0,,
1951,British Columbia,14394.0,,
1951,Manitoba,8749.0,,
1951,New Brunswick,1423.0,,
1951,Newfoundland and Labrador,259.0,,
1951,Northwest Territories including Nunavut,19.0,,
1951,Nova Scotia,2035.0,,
1951,Ontario,104842.0,,
1951,Prince Edward Island,211.0,,
1951,Quebec,46033.0,,
1951,Saskatchewan,4178.0,,
1951,Yukon,10.0,,
1952,Alberta,13050.0,,
1952,British Columbia,14967.0,,
1952,Manitoba,6635.0,,
1952,New Brunswick,1020.0,,
1952,Newfoundland and Labrador,503.0,,
1952,Northwest Territories including Nunavut,43.0,,
1952,Nova Scotia,2702.0,,
1952,Ontario,86059.0,,
1952,Prince Edward Island,306.0,,
1952,Quebec,35318.0,,
1952,Saskatchewan,3875.0,,
1952,Yukon,20.0,,
1953,Alberta,15227.0,,
1953,British Columbia,13118.0,,
1953,Manitoba,8191.0,,
1953,New Brunswick,1080.0,,
1953,Newfoundland and Labrador,502.0,,
1953,Northwest Territories including Nunavut,52.0,,
1953,Nova Scotia,2206.0,,
1953,Ontario,90120.0,,
1953,Prince Edward Island,261.0,,
1953,Quebec,34294.0,,
1953,Saskatchewan,3790.0,,
1953,Yukon,27.0,,
1954,Alberta,13294.0,,
1954,British Columbia,12197.0,,
1954,Manitoba,9219.0,,
1954,New Brunswick,1011.0,,
1954,Newfoundland and Labrador,524.0,,
1954,Northwest Territories including Nunavut,64.0,,
1954,Nova Scotia,2207.0,,
1954,Ontario,83029.0,,
1954,Prince Edward Island,107.0,,
1954,Quebec,28419.0,,
1954,Saskatchewan,4125.0,,
1954,Yukon,31.0,,
1955,Alberta,7843.0,,
1955,British Columbia,11570.0,,
1955,Manitoba,5062.0,,
1955,New Brunswick,659.0,,
1955,Newfoundland and Labrador,444.0,,
1955,Northwest Territories including Nunavut,46.0,,
1955,Nova Scotia,1841.0,,
1955,Ontario,57563.0,,
1955,Prince Edward Island,123.0,,
1955,Quebec,22117.0,,
1955,Saskatchewan,2654.0,,
1955,Yukon,24.0,,
1956,Alberta,10199.0,,
1956,British Columbia,18241.0,,
1956,Manitoba,5936.0,,
1956,New Brunswick,873.0,,
1956,Newfoundland and Labrador,436.0,,
1956,Northwest Territories including Nunavut,81.0,,
1956,Nova Scotia,1679.0,,
1956,Ontario,92849.0,,
1956,Prince Edward Island,115.0,,
1956,Quebec,32153.0,,
1956,Saskatchewan,2255.0,,
1956,Yukon,40.0,,
1957,Alberta,21131.0,,
1957,British Columbia,37528.0,,
1957,Manitoba,11614.0,,
1957,New Brunswick,1673.0,,
1957,Newfoundland and Labrador,495.0,,
1957,Northwest Territories including Nunavut,134.0,,
1957,Nova Scotia,2790.0,,
1957,Ontario,147097.0,,
1957,Prince Edward Island,134.0,,
1957,Quebec,55073.0,,
1957,Saskatchewan,4427.0,,
1957,Yukon,68.0,,
1958,Alberta,8429.0,,
1958,British Columbia,13400.0,,
1958,Manitoba,4732.0,,
1958,New Brunswick,1031.0,,
1958,Newfoundland and Labrador,373.0,,
1958,Northwest Territories including Nunavut,87.0,,
1958,Nova Scotia,1786.0,,
1958,Ontario,63853.0,,
1958,Prince Edward Island,78.0,,
1958,Quebec,28443.0,,
1958,Saskatchewan,2595.0,,
1958,Yukon,44.0,,
1959,Alberta,7423.0,,
1959,British Columbia,11000.0,,
1959,Manitoba,3610.0,,
1959,New Brunswick,640.0,,
1959,Newfoundland and Labrador,345.0,,
1959,Northwest Territories including Nunavut,83.0,,
1959,Nova Scotia,1087.0,,
1959,Ontario,55976.0,,
1959,Prince Edward Island,91.0,,
1959,Quebec,24816.0,,
1959,Saskatchewan,1815.0,,
1959,Yukon,42.0,,
1960,Alberta,6949.0,,
1960,British Columbia,10120.0,,
1960,Manitoba,4337.0,,
1960,New Brunswick,634.0,,
1960,Newfoundland and Labrador,306.0,,
1960,Northwest Territories including Nunavut,81.0,,
1960,Nova Scotia,1210.0,,
1960,Ontario,54491.0,,
1960,Prince Edward Island,83.0,,
1960,Quebec,23774.0,,
1960,Saskatchewan,2087.0,,
1960,Yukon,39.0,,
1961,Alberta,4823.0,,
1961,British Columbia,7326.0,,
1961,Manitoba,2527.0,,
1961,New Brunswick,770.0,,
1961,Newfoundland and Labrador,365.0,,
1961,Northwest Territories including Nunavut,87.0,,
1961,Nova Scotia,901.0,,
1961,Ontario,36518.0,,
1961,Prince Edward Island,69.0,,
1961,Quebec,16920.0,,
1961,Saskatchewan,1333.0,,
1961,Yukon,50.0,,
1962,Alberta,4745.0,,
1962,British Columbia,7441.0,,
1962,Manitoba,2410.0,,
1962,New Brunswick,944.0,,
1962,Newfoundland and Labrador,378.0,,
1962,Northwest Territories including Nunavut,59.0,,
1962,Nova Scotia,989.0,,
