"REF_DATE","GEO","DGUID","Estimate","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015-01","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","15742637","A","","","0"
"2015-02","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","15741983","A","","","0"
"2015-03","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","15741102","A","","","0"
"2015-04","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","15781857","A","","","0"
"2015-05","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","15815892","A","","","0"
"2015-06","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","15787302","A","","","0"
"2015-07","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","15827431","A","","","0"
"2015-08","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","15796905","A","","","0"
"2015-09","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","15815887","A","","","0"
"2015-10","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","15874877","A","","","0"
"2015-11","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","15851973","A","","","0"
"2015-12","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","15883160","A","","","0"
"2016-01","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","15874792","A","","","0"
"2016-02","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","15855560","A","","","0"
"2016-03","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","15891549","A","","","0"
"2016-04","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","15956706","A","","","0"
"2016-05","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","15957431","A","","","0"
"2016-06","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","16020301","A","","","0"
"2016-07","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","16013293","A","","","0"
"2016-08","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","15994935","A","","","0"
"2016-09","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","16054032","A","","","0"
"2016-10","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","16051621","A","","","0"
"2016-11","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","16071300","A","","","0"
"2016-12","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","16127388","A","","","0"
"2017-01","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","16115137","A","","","0"
"2017-02","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","16172612","A","","","0"
"2017-03","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","16177733","A","","","0"
"2017-04","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","16203412","A","","","0"
"2017-05","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","16242859","A","","","0"
"2017-06","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","16339942","A","","","0"
"2017-07","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","16349124","A","","","0"
"2017-08","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","16401433","A","","","0"
"2017-09","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","16432659","A","","","0"
"2017-10","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","16405484","A","","","0"
"2017-11","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","16425148","A","","","0"
"2017-12","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","16485107","A","","","0"
"2018-01","Canada","2021A000011124","Employment for all employees","Industrial aggregate including unclassified businesses [00-91N]","Persons","249","units","0","v79310773","1.1.1","16487489","A","","","0"
